TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO,OBRA_PUBLICITARIA
FORREST GUMP,FORREST GUMP - O CONTADOR DE HISTÓRIAS,CINEMARK BRASIL S.A,ESTADOS UNIDOS,11289,"2014, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
FORTALEZA HOTEL,FORTALEZA HOTEL,VITRINE FILMES LTDA,BRASIL,1321,2022,TOTAL,NÃO SE APLICA,SIM
FOTOGRAFAÇÃO,FOTOGRAFAÇÃO,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,541,2020,TOTAL,NÃO SE APLICA,NÃO
FOURMI,MEU FILHO É UM CRAQUE,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BÉLGICA,499,"2022, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
FOURTEEN,FOURTEEN,ZETA FILMES LTDA,ESTADOS UNIDOS,871,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
FOXCATCHER,FOXCATCHER: UMA HISTÓRIA QUE CHOCOU O MUNDO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,46149,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
FOXFIRE,FOXFIRE - CONFISSÕES DE UMA GANGUE DE GAROTAS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,CANADÁ,173,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
FRANCES HA,FRANCES HA,VITRINE FILMES LTDA,BRASIL,549,"2014, 2015",TOTAL,NÃO SE APLICA,SIM
FRANCISCO BRENNAND,FRANCISCO BRENNAND,CIRCUITO CINEARTE LTDA,BRASIL,19,2014,TOTAL,NÃO SE APLICA,NÃO
FRANCISCO: EL PADRE JORGE,"PAPA FRANCISCO, CONQUISTANDO CORAÇÕES",RJ DISTRIBUIDORA DE FILMES LTDA,ARGENTINA,7094,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
FRANCO NO TREM DO MEDO,FRANCO NO TREM DO MEDO,SIRINO E SILVESTRE LTDA-ME,BRASIL,8231,"2023, 2024",TOTAL,NÃO SE APLICA,SIM
FRANCOFONIA,FRANCOFONIA - LOUVRE SOB OCUPAÇÃO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,27789,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
FRANK,FRANK,MARES FILMES EIRELI,INGLATERRA,3653,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
FRANKENSTEIN WITH JOHNNY LEE MILLER AS THE CREATURE,FRANKENSTEIN WITH JOHNNY LEE MILLER AS THE CREATURE,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,INGLATERRA,370,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
FRANKENSTEIN WITH JOHNNY LEE MILLER AS THE CREATURE,FRANKENSTEIN: POR JOHNNY LEE MILLER,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,INGLATERRA,179,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
FRANKIE,FRANKIE,SM DISTRIBUIDORA DE FILMES LTDA,FRANÇA,12098,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
FRANS KRAJCBERG: MANIFESTO,FRANS KRAJCBERG: MANIFESTO,LAUPER FILMS LTDA ME,BRASIL,1715,2019,TOTAL,NÃO SE APLICA,NÃO
FRANTZ,FRANTZ,ANTONIO FERNANDES FILMES LTDA,ALEMANHA,19854,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
FREAKY,FREAKY: NO CORPO DE UM ASSASSINO,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,70617,"2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
FREE ANGELA AND ALL POLITICAL PRISONERS,LIBERTEM ANGELA DAVIS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,4823,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
FREE BIRDS,BONS DE BICO,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,8121,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
FREE GUY,FREE GUY: ASSUMINDO O CONTROLE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,461603,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
FREE STATE OF JONES,UM ESTADO DE LIBERDADE,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,12139,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
FREEHELD,AMOR POR DIREITO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,18189,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
FRIDAY THE 13TH,SEXTA-FEIRA 13,CINEMARK BRASIL S.A,ESTADOS UNIDOS,1576,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
FRIDAY THE 13TH,SEXTA-FEIRA 13,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,52,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
FROM THE LAND OF THE MOON,UM INSTANTE DE AMOR,MARES FILMES EIRELI,BÉLGICA,35076,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
FROZEN,FROZEN: UMA AVENTURA CONGELANTE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,4047964,"2014, 2015, 2016, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
FROZEN II,FROZEN 2,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,7951199,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
FRUITVALE STATION,FRUITVALE STATION - A ÚLTIMA PARADA,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,7456,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
FULL METAL JACKET,NASCIDO PARA MATAR,CINEMARK BRASIL S.A,ESTADOS UNIDOS,3330,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
FULL METAL JACKET,NASCIDO PARA MATAR,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,375,"2015, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
FUOCOAMMARE,FOGO NO MAR,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,5072,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
FURIOSA: A MAD MAX SAGA,FURIOSA: UMA SAGA MAD MAX,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1002338,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
FURIOUS SEVEN,VELOZES E FURIOSOS 7,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,9948437,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
FURY,CORAÇÕES DE FERRO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,437802,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
FUTATSUME NO MADO,O SEGREDO DAS ÁGUAS,ANTONIO FERNANDES FILMES LTDA,JAPÃO,4296,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
FUTEBOL DE VÁRZEA,FUTEBOL DE VÁRZEA,CINEMATOGRÁFICA POLIFILMES LTDA-ME,BRASIL,52,2014,TOTAL,NÃO SE APLICA,SIM
FUTUR DREI,SEM RESSENTIMENTOS,OLHAR DISTRIBUICAO DE FILMES LTDA,ALEMANHA,155,"2021, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
FUTURO JUNHO,FUTURO JUNHO,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,354,2016,IGUALITÁRIA,NÃO SE APLICA,SIM
FÁTIMA,FÁTIMA – A HISTÓRIA DE UM MILAGRE.,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,63876,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
"FÁTIMA, EL ÚLTIMO MISTERIO","FÁTIMA, O ÚLTIMO MISTÉRIO",CINEMARK BRASIL S.A,ESPANHA,112174,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
FÉ E FÚRIA,FÉ E FÚRIA,EMBAUBA FILMES LTDA,BRASIL,900,2022,TOTAL,NÃO SE APLICA,SIM
FÉRIAS TROCADAS,FÉRIAS TROCADAS,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,122730,2024,TOTAL,NÃO SE APLICA,NÃO
FÊTE DE FAMILLE,FELIZ ANIVERSÁRIO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,10415,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
GABEIRA,GABEIRA,DE FELIPPES FILMES E PRODUÇÕES LTDA,BRASIL,1373,2017,TOTAL,NÃO SE APLICA,NÃO
GABRIEL E A MONTANHA,GABRIEL E A MONTANHA,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,FRANÇA,42195,"2017, 2018",MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA,SIM
GABY ESTRELLA,GABY ESTRELLA,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,37679,2018,TOTAL,NÃO SE APLICA,NÃO
GAFAS AMARILLAS,GAFAS AMARILLAS,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,30,2022,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,SIM
GAGARINE,EDIFÍCIO GAGARINE,VITRINE FILMES LTDA,FRANÇA,1582,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
GALAXIAS,GALAXIAS,DE FELIPPES FILMES E PRODUÇÕES LTDA,BRASIL,47,2019,TOTAL,NÃO SE APLICA,NÃO
GALERIA F,GALERIA F,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,573,2017,TOTAL,NÃO SE APLICA,NÃO
GALERIA FUTURO,GALERIA FUTURO,H2O DISTRIBUIDORA DE FILMES LTDA,BRASIL,554,2021,TOTAL,NÃO SE APLICA,NÃO
GALINHA PINTADINHA MINI - NA TELONA,GALINHA PINTADINHA MINI - NA TELONA,FLIX MEDIA LTDA,BRASIL,25006,2016,TOTAL,NÃO SE APLICA,SIM
GAME NIGHT,A NOITE DO JOGO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,198467,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
GARFIELD,GARFIELD FORA DE CASA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,1841440,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
GARIMPEIROS DO VOTO,GARIMPEIROS DO VOTO,BIZUM COMUNICAÇÃO LTDA,BRASIL,75,2018,TOTAL,NÃO SE APLICA,NÃO
GAROTA DA MOTO,GAROTA DA MOTO,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,2894,2021,TOTAL,NÃO SE APLICA,NÃO
GAROTO CÓSMICO,GAROTO CÓSMICO,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,13,2022,TOTAL,NÃO SE APLICA,NÃO
GARÇON CHIFFON,GAROTO CHIFFON,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,1017,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
"GARÇONS ET GUILLAUME, À TABLE!, LES","EU, MAMÃE E OS MENINOS",MARES FILMES EIRELI,FRANÇA,52196,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
GASPARD VA AU MARIAGE,A EXCÊNTRICA FAMÍLIA DE GASPARD,BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA,FRANÇA,2515,"2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
GATA VELHA AINDA MIA,GATA VELHA AINDA MIA,CINEMATOGRÁFICA POLIFILMES LTDA-ME,BRASIL,3181,2014,TOTAL,NÃO SE APLICA,SIM
GATO GALACTICO E O FEITIÇO DO TEMPO,GATO GALACTICO E O FEITIÇO DO TEMPO,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,BRASIL,24560,2024,TOTAL,NÃO SE APLICA,SIM
GAUGUIN - VOYAGE DE TAHITI,GAUGUIN - VIAGEM AO TAITI,A2 DISTRIBUIDORA DE FILMES LTDA EPP,FRANÇA,23974,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
GEMINI MAN,PROJETO GEMINI,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,CHINA,821760,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
GEMMA BOVERY,GEMMA BOVERY,MARES FILMES EIRELI,FRANÇA,22757,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
GENIUS,O MESTRE DOS GÊNIOS,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,25115,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
GEOSTORM,TEMPESTADE: PLANETA EM FÚRIA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,911900,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
GERALDINOS,GERALDINOS,JACQUELINE FILMES LTDA,BRASIL,461,2016,TOTAL,NÃO SE APLICA,SIM
GERHARD RICHTER PAINTING,A PINTURA DE GERHARD RICHTER,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,ALEMANHA,688,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
GERONIMO,GERONIMO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,858,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
GET OUT,CORRA!,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,381966,"2017, 2018, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
GETT,O JULGAMENTO DE VIVIANE AMSALEM,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ISRAEL,16925,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
GETÚLIO,GETÚLIO,ELIMAR PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,507414,2014,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA,NÃO
GHAHREMAN,UM HERÓI,ANTONIO FERNANDES FILMES LTDA,FRANÇA,6133,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
GHOST,GHOST - DO OUTRO LADO DA VIDA,CINEMARK BRASIL S.A,ESTADOS UNIDOS,1097,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
GHOST IN THE SHELL,A VIGILANTE DO AMANHÃ - GHOST IN THE SHELL,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,727923,"2017, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
GHOST IN THE SHELL,O FANTASMA DO FUTURO,CINEMARK BRASIL S.A,JAPÃO,4017,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
GHOST: RITE HERE RITE NOW,GHOST: RITE HERE RITE NOW,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,ESTADOS UNIDOS,11481,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
GHOSTBUSTERS,OS CAÇA FANTASTMAS,CINEMARK BRASIL S.A,ESTADOS UNIDOS,6045,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
GHOSTBUSTERS III,CAÇA-FANTASMAS (2016),COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,1294496,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
GHOSTBUSTERS: AFTERLIFE,GHOSTBUSTERS MAIS ALÉM,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,CANADÁ,503233,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
GHOSTBUSTERS: FROZEN EMPIRE,GHOSTBUSTERS: APOCALIPSE DE GELO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,484672,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
GIRIMUNHO,GIRIMUNHO,VITRINE FILMES LTDA,BRASIL,17,2016,MAJORITÁRIA,NÃO SE APLICA,NÃO
GIRL ASLEEP,O SONHO DE GRETA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,AUSTRÁLIA,2809,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
GLASS,VIDRO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,1365681,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
GLAUCO DO BRASIL,GLAUCO DO BRASIL,BOULEVARD FILMES LTDA,BRASIL,233,2016,TOTAL,NÃO SE APLICA,NÃO
GLEASON,A LUTA DE STEVE,ENCRIPTA S/A,ESTADOS UNIDOS,714,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
GLORIA,GLORIA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,CHILE,29282,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
GLORIA BELL,GLORIA BELL,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,30889,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
GLORIA MUNDI,O MUNDO DE GLORIA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,403,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
GLUPCY,TOLOS SÃO OS OUTROS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,POLÔNIA,376,"2023, 2024",NÃO SE APLICA,NÃO SE APLICA,SIM
GNOME ALONE,DUDA E OS GNOMOS,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,188036,"2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
GO HOME,DE VOLTA,ESFERA PRODUÇÕES CULTURAIS EIRELI,FRANÇA,1244,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
GOAL,AMOR EM JOGO,ENCRIPTA S/A,ISRAEL,294,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
GOD IS NOT DEAD 2,DEUS NÃO ESTÁ MORTO 2,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,340310,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
GOD'S CREATURES,CRIATURAS DO SENHOR,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,3061,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
GOD'S NOT DEAD,DEUS NÃO ESTÁ MORTO,GRAÇA FILMES PRODUTORA E DISTRIBUIDORA LTDA,ESTADOS UNIDOS,66708,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
GOD'S NOT DEAD: A LIGHT IN DARKNESS,DEUS NÃO ESTA MORTO: UMA LUZ NA ESCURIDÃO,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,273013,"2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
GOD'S NOT DEAD: WE THE PEOPLE,DEUS NÃO ESTÁ MORTO: O PRÓXIMO CAPÍTULO,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,89035,"2021, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
GODS OF EGYPT,DEUSES DO EGITO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1246758,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
GODZILLA,GODZILLA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1365132,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
GODZILLA - KING OF THE MONSTERS,GODZILLA II – REI DOS MONSTROS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,532988,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
GODZILLA MINUS ONE,GODZILLA MINUS ONE,SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA,JAPÃO,254034,"2023, 2024",NÃO SE APLICA,NÃO SE APLICA,SIM
GODZILLA VS. KONG,GODZILLA VS. KONG,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,799393,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
GODZILLA X KONG: THE NEW EMPIRE,GODZILLA E KONG: O NOVO IMPÉRIO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,2143384,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
GOING IN STYLE,DESPEDIDA EM GRANDE ESTILO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,131270,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
GOLDA,GOLDA - A MULHER DE UMA NAÇÃO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,REINO UNIDO,64721,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
GOLIATH,GOLIAS,BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA,BÉLGICA,533,"2022, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
GONE GIRL,GAROTA EXEMPLAR,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,535825,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
GONZAGA - DE PAI PARA FILHO,GONZAGA - DE PAI PARA FILHO,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,47,2015,TOTAL,NÃO SE APLICA,NÃO
"GOOD LUCK TO YOU, LEO GRANDE","BOA SORTE, LEO GRANDE",SM DISTRIBUIDORA DE FILMES LTDA,REINO UNIDO,45071,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
GOOD PEOPLE,RISCO IMEDIATO,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,76618,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
GOOD TIME,BOM COMPORTAMENTO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,14621,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
GOODFELLAS,OS BONS COMPANHEIROS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,332,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
GOODNIGH MOMMY,BOA NOITE MAMÃE!,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ÁUSTRIA,18980,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
GOOSEBUMPS,GOOSEBUMPS - MONSTROS E ARREPIOS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,516270,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
GOOSEBUMPS 2: HAUNTED HALLOWEEN,GOOSEBUMPS: HALLOWEEN ASSOMBRADO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,337975,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
"GOSPOD POSTOI, IMETO I' E PETRUNIJA",DEUS É MULHER E SEU NOME É PETÚNIA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BÉLGICA,4584,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
GOSTO SE DISCUTE,GOSTO SE DISCUTE,WMIX DISTRIBUIDORA LTDA.,BRASIL,170326,2017,TOTAL,NÃO SE APLICA,NÃO
"GOSTOSAS, LINDAS E SEXIES","GOSTOSAS, LINDAS E SEXIES",SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,85165,2017,TOTAL,NÃO SE APLICA,NÃO
GRACE OF MONACO,GRACE DE MÔNACO,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,FRANÇA,91978,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
GRACIE AND PEDRO: PETS TO THE RESCUE,PETS EM AÇÃO!,WMIX DISTRIBUIDORA LTDA.,ÁFRICA DO SUL,56471,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
"GRADUATE, THE",A PRIMEIRA NOITE DE UM HOMEM,ZETA FILMES LTDA,ESTADOS UNIDOS,3871,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
GRAN TURISMO,GRAN TURISMO - DE JOGADOR A CORREDOR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,420106,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
GRAN TURISMO,GRAN TURISMO - DE JOGADOR A CORREDOR,STARK'S CINEMA E LANCHONETE LTDA.,ESTADOS UNIDOS,169,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
GRAND CENTRAL,GRAND CENTRAL,ANTONIO FERNANDES FILMES LTDA,ÁUSTRIA,2616,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
GRAND PIANO,TOQUE DE MESTRE,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESPANHA,29847,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
GRANDE SERTÃO,GRANDE SERTÃO,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,40296,2024,TOTAL,NÃO SE APLICA,NÃO
GRANDES MÉDICOS,GRANDES MÉDICOS,ACCORDE FILMES LTDA.,BRASIL,24,2018,TOTAL,NÃO SE APLICA,NÃO
GRAVITY,GRAVIDADE,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,83487,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
GRBAVICA,GRBAVICA,CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE,BÓSNIA-HERZEGÓVINA,130,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
GREASE,GREASE - NOS TEMPOS DA BRILHANTINA,CINEMARK BRASIL S.A,ESTADOS UNIDOS,11220,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
GREEN BOOK,GREEN BOOK - O GUIA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,621017,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
GREENLAND,DESTRUIÇÃO FINAL: O ÚLTIMO REFÚGIO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,377812,"2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
GREICE,GREICE,VITRINE FILMES LTDA,PORTUGAL,2897,2024,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA,SIM
GRETA,GRETA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,8709,"2019, 2020, 2021",TOTAL,NÃO SE APLICA,SIM
GRETA,OBSESSÃO,GALERIA DISTRIBUIDORA AUDIOVISUAL LTDA,ESTADOS UNIDOS,40014,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
GRETEL & HANSEL (2020),MARIA E JOÃO - O CONTO DAS BRUXAS,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,797053,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
